id;name;location;version;conditions;method;chance;minLvl;maxLvl;trigger;evolution_method;baby;generation;
1;bulbasaur;pallet-town-area;HG/SS;;gift;100;5;5;;;0;4;
2;ivysaur;no-location;;;;;;;level-up;min_level:16;0;4;
3;venusaur;no-location;;;;;;;level-up;min_level:32;0;4;
4;charmander;pallet-town-area;HG/SS;;gift;100;5;5;;;0;4;
5;charmeleon;no-location;;;;;;;level-up;min_level:16;0;4;
6;charizard;no-location;;;;;;;level-up;min_level:36;0;4;
7;squirtle;pallet-town-area;HG/SS;;gift;100;5;5;;;0;4;
8;wartortle;no-location;;;;;;;level-up;min_level:16;0;4;
9;blastoise;no-location;;;;;;;level-up;min_level:36;0;4;
10;caterpie;eterna-forest-area;Pt;slot2-firered;walk;4;13;13;;;0;4;
10;caterpie;sinnoh-route-204-south-towards-jubilife-city;D/P;slot2-firered;walk;4;6;6;;;0;4;
10;caterpie;sinnoh-route-204-south-towards-jubilife-city;Pt;slot2-firered;walk;4;5;5;;;0;4;
10;caterpie;sinnoh-route-204-north-towards-floaroma-town;Pt;slot2-firered;walk;4;10;10;;;0;4;
10;caterpie;johto-route-30-area;HG;time-morning;walk;20;3;3;;;0;4;
10;caterpie;johto-route-30-area;HG;time-day;walk;20;3;3;;;0;4;
10;caterpie;johto-route-30-area;HG;time-morning,radio-off;walk;10;3;3;;;0;4;
10;caterpie;johto-route-30-area;HG;time-day,radio-off;walk;10;3;3;;;0;4;
10;caterpie;johto-route-30-area;HG;time-morning,radio-off;walk;10;4;4;;;0;4;
10;caterpie;johto-route-30-area;HG;time-day;walk;4;4;4;;;0;4;
10;caterpie;johto-route-30-area;HG;time-day;walk;1;4;4;;;0;4;
10;caterpie;johto-route-31-area;HG;time-morning;walk;20;4;4;;;0;4;
10;caterpie;johto-route-31-area;HG;time-day;walk;20;4;4;;;0;4;
10;caterpie;johto-route-31-area;HG;time-morning,radio-off;walk;10;4;4;;;0;4;
10;caterpie;johto-route-31-area;HG;time-day,radio-off;walk;10;4;4;;;0;4;
10;caterpie;johto-route-31-area;HG;time-morning;walk;4;5;5;;;0;4;
10;caterpie;johto-route-31-area;HG;time-day;walk;4;5;5;;;0;4;
10;caterpie;johto-route-31-area;HG;time-morning;walk;1;5;5;;;0;4;
10;caterpie;johto-route-31-area;HG;time-day;walk;1;5;5;;;0;4;
10;caterpie;ilex-forest-area;HG;time-morning;walk;20;5;5;;;0;4;
10;caterpie;ilex-forest-area;HG;time-day;walk;20;5;5;;;0;4;
10;caterpie;ilex-forest-area;HG;time-day;walk;20;6;6;;;0;4;
10;caterpie;ilex-forest-area;HG;time-morning,radio-off;walk;10;5;5;;;0;4;
10;caterpie;ilex-forest-area;HG;time-day,radio-off;walk;10;5;5;;;0;4;
10;caterpie;ilex-forest-area;HG;time-day,radio-off;walk;10;6;6;;;0;4;
10;caterpie;ilex-forest-area;HG;time-morning,radio-off;walk;10;6;6;;;0;4;
10;caterpie;national-park-area;HG;time-morning;walk;20;10;10;;;0;4;
10;caterpie;national-park-area;HG;time-day;walk;20;10;10;;;0;4;
10;caterpie;national-park-area;HG;time-morning,radio-off;walk;10;10;10;;;0;4;
10;caterpie;national-park-area;HG;time-day,radio-off;walk;10;10;10;;;0;4;
10;caterpie;national-park-area;HG;time-morning,radio-off;walk;10;12;12;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;20;10;10;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;10;10;10;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;10;12;12;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;5;12;12;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;4;10;10;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;4;14;14;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;1;10;10;;;0;4;
10;caterpie;unknown-all-bugs-area;HG;;walk;1;14;14;;;0;4;
10;caterpie;kanto-route-2-south-towards-viridian-city;HG;time-morning;walk;20;3;3;;;0;4;
10;caterpie;kanto-route-2-south-towards-viridian-city;HG;time-day;walk;20;3;3;;;0;4;
10;caterpie;kanto-route-2-south-towards-viridian-city;HG;time-morning,radio-off;walk;10;3;3;;;0;4;
10;caterpie;kanto-route-2-south-towards-viridian-city;HG;time-day,radio-off;walk;10;3;3;;;0;4;
